id	name	wpn1	wpn2	wpn3	wpn4	wpn5	wpn6	wpn7	armor1	armor2	armor3	armor4	rt	reclimit	basecost	rcost	size	ressize	hp	prot	mr	mor	str	att	def	prec	enc	mapmove	ap	ambidextrous	mounted	mountmnr	skilledrider	reinvigoration	leader	undeadleader	magicleader	startage	maxage	hand	bow	head	body	foot	misc	crownonly	pathcost	startdom	bonusspells	F	A	W	E	S	D	N	G	B	H	rand1	nbr1	link1	mask1	rand2	nbr2	link2	mask2	rand3	nbr3	link3	mask3	rand4	nbr4	link4	mask4	holy	inquisitor	mind	inanimate	undead	demon	magicbeing	stonebeing	animal	coldblood	female	forestsurvival	mountainsurvival	wastesurvival	swampsurvival	cavesurvival	aquatic	amphibian	pooramphibian	float	flying	stormimmune	teleport	immobile	noriverpass	sailingshipsize	sailingmaxunitsize	stealthy	illusion	spy	assassin	patience	seduce	succubus	corrupt	heal	immortal	domimmortal	reinc	noheal	neednoteat	homesick	undisciplined	formationfighter	slave	standard	inspirational	taskmaster	beastmaster	bodyguard	waterbreathing	iceprot	invulnerable	slashres	bluntres	pierceres	shockres	fireres	coldres	poisonres	acidres	voidsanity	darkvision	blind	animalawe	awe	haltheretic	fear	berserk	cold	heat	fireshield	banefireshield	damagerev	poisoncloud	diseasecloud	slimer	mindslime	reform	regeneration	reanimator	poisonarmor	petrify	eyeloss	ethereal	ethtrue	deathcurse	trample	trampswallow	stormpower	firepower	coldpower	darkpower	chaospower	magicpower	winterpower	springpower	summerpower	fallpower	forgebonus	fixforgebonus	mastersmith	resources	autohealer	autodishealer	alch	nobadevents	event	insane	shatteredsoul	leper	taxcollector	gem	gemprod	chaosrec	pillagebonus	patrolbonus	castledef	siegebonus	incprovdef	supplybonus	incunrest	popkill	researchbonus	drainimmune	inspiringres	douse	adeptsacr	crossbreeder	makepearls	pathboost	allrange	voidsum	heretic	elegist	shapechange	firstshape	secondshape	secondtmpshape	landshape	watershape	forestshape	plainshape	xpshape	unique	fixedname	special	nametype	summon	n_summon	batstartsum1	batstartsum2	domsummon	domsummon2	domsummon20	raredomsummon	bloodvengeance	bringeroffortune	realm1	realm2	realm3	batstartsum3	batstartsum4	batstartsum5	batstartsum1d6	batstartsum2d6	batstartsum3d6	batstartsum4d6	batstartsum5d6	batstartsum6d6	turmoilsummon	coldsummon	scalewalls	deathfire	uwregen	shrinkhp	growhp	transformation	startingaff	fixedresearch	divineins	lamialord	preanimator	dreanimator	mummify	onebattlespell	fireattuned	airattuned	waterattuned	earthattuned	astralattuned	deathattuned	natureattuned	bloodattuned	magicboostF	magicboostA	magicboostW	magicboostE	magicboostS	magicboostD	magicboostN	magicboostALL	eyes	heatrec	coldrec	spreadchaos	spreaddeath	corpseeater	poisonskin	bug	uwbug	spreadorder	spreadgrowth	startitem	spreaddom	battlesum5	acidshield	drake	prophetshape	horror	enchrebate50p	latehero	sailsize	uwdamage	landdamage	rpcost	buffer	rand5	nbr5	link5	mask5	rand6	nbr6	link6	mask6	mummification	diseaseres	raiseonkill	raiseshape	sendlesserhorrormult	xploss	theftofthesunawe	incorporate	hpoverslow	blessbers	dragonlord	curseattacker	uwheat	slothresearch	horrordeserter	mindvessel	elementrange	sorceryrange	older	disbelieve	firerange	astralrange	landreinvigoration	naturerange	beartattoo	horsetattoo	reincarnation	wolftattoo	boartattoo	sleepaura	snaketattoo	appetite	astralfetters	foreignmagicboost	templetrainer	infernoret	kokytosret	addrandomage	unsurr	combatcaster	homeshape	speciallook	aisinglerec	nowish	bugreform	mason	onisummon	sunawe	spiritsight	ownblood	invisible	startaff	ivylord	spellsinger	magicstudy	triplegod	triplegodmag	unify	triple3mon	yearturn	fortkill	thronekill	digest	indepmove	unteleportable	reanimpriest	stunimmunity	entangle	alchemy	woundfend	singlebattle	falsearmy	summon5	ainorec	researchwithoutmagic	slaver	autocompete	deathparalyze	adventurers	cleanshape	reqlab	reqtemple	horrormarked	changetargetgenderforseductionandseductionimmune	overcharged	guardianspiritmodifier	isashah	iceforging	isayazad	isadaeva	blessfly	plant	clockworklord	commaster	comslave	minsizeleader	snowmove	swimming	stupid	skirmisher	ironvul	heathensummon	unseen	powerofdeath	reformtime	immortalrespawn	nomovepen	wolf	dungeon	graphicsize	twiceborn	aboleth	tmpastralgems	localsun	tmpfiregems	defiler	mountedbeserk	lanceok	startheroab	minprison	uwfireshield	saltvul	landenc	plaguedoctor	curseluckshield	pathboostuw	pathboostland	noarmormapmovepenalty	farthronekill	hpoverflow	indepstay	polyimmune	horrormark	deathdisease	allret	percentpathreduction	aciddigest	beckon	slaverbonus	carcasscollector	mindcollar	labpromotion	mountainrec	indepspells	enchrebate50	summon1	randomspell	deathpower	deathrec	norange	insanify	reanimator	defector	nohof	batstartsum1d3	enchrebate10	undying	moralebonus	uncurableaffliction	autoblessed	wintersummon1d3	stygianguide	almostundead	truesight	smartmount	mobilearcher	reformingflesh	fearoftheflood	spiritform	chorusslave	chorusmaster	tightrein	corpsestitcher	reconstruction	nofriders	coridermnr	holycost	animatemnr	lich	glamourman	erastartageincrease	moreorder	moregrowth	moreprod	moreheat	moreluck	moremagic	nofmounts	divinebeing	falsedamagerecovery	uwpathboost	nofalldmg	randomitems	fireempower	airempower	waterempower	earthempower	popspy	capitalhome	deathslimeexpl	deathpoisonexpl	deathshockexpl	drawsize	clumsy	petrificationimmune	regainmount	nobarding	scarsouls	spikebarbs	pretenderstartsite	mountiscom	nothrowoff	offscriptresearch	bird	decayres	unmountedspr	cubmother	exhaustion	glamour	deadhp	maxdeadhp	verystupid	deathdiseaseexpl	end
210	Giant Lobster	235											1		10040	1	6	6	34	20	4	15	20	7	5	3	2	1	8						50					0		0	0	0	2																																							1								1																										1																				100																									1																																																																																																																																										40																																																																																																																																																																																																																																							1		
211	Lobster Rider	31							25				1		10010	1	3	3	13	2	10	11	11	11	10	8	3	1	8			210			50			22	500	2	1	1	1	1	2																																																1																																													100																																																																																																																																																																			10000																																																																																																																																																																																																																																	77026								
212	Lord Warden	8	8						18	21			1		10030	1	3	3	20	0	13	16	14	13	13	10	2	18	14	2					100				100	2	1	1	1	1	2																															1											1																40																																																																																																																																																																																																						10000																																																																																																																																																																													1																																																												
213	Salamander	48	20										1		50	1	4	4	20	10	13	9	9	10	9	10	3	2	12						10					0		0	0	0	2																																							1					1																													1															25													6																				1																																																																																																60																																							15																																																																																																																																																																																																																																									
214	Beast Trainer	49							14	118			1		10030	1	4	4	19	0	13	13	15	10	9	7	2	12	13						50		10		35	2	1	1	1	1	2																																												1																																	-1		3									25					50		4						3																																																																																																																																																											20000																																																																																																																																																																																																																																									
215	Virtue	95											1		10000	1	6	6	39	0	18	30	13	13	13	15	1	4	18						150		50			2	1	1	1	1	2		80	2		1	2																															1				1										1																																25				15	15								5																																																																																		139																																																																														10000																																																	1									1																																																																																																																																					1																																										
216	Dragon	533	821	823	532								1		260	1	10	10	125	18	18	30	25	15	12	12	2	3	10						100					0	0	1	0	0	2	1	80	2		2																																						1	1							1																																					15										10																																																																				226																							10																																				2							-2																								10000																				1																																																																																																																																																																													-1	1																		15																					
217	Flagellant	16											1		10008	1	3	3	9	0	10	14	11	8	8	8	3	14	12						50					2	1	1	1	1	2																															1																																																																																																																																																																																																																																	10000																																																													75																																																																																																																																																																												
218	Crossbowman	12	25						6	120			1		10010	1	3	3	10	0	10	11	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
219	Swordsman	11							9	20			1		10010	1	3	3	10	0	10	11	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
220	Halberdier	5							9	20			1		10010	1	3	3	10	0	10	11	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																				1																																																																																																												10000																																																																																																																																																																																																																																									
221	Pikeneer	2							9	20			1		10010	1	3	3	10	0	10	11	10	10	10	10	3	14	12						50					2	1	1	1	1	2																																																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
222	High Inquisitor	9											2		10010	1	3	3	10	0	16	16	10	8	8	11	4	14	10						150					2	1	1	1	1	2					1									3																	1	1																																																																																																																																																																																																																																10000																																																																																																																																																																																																																																									
223	Grand Master	12											2		10010	1	3	3	10	0	18	11	10	12	12	10	4	14	10						100					2	1	1	1	1	2					3				2					2	100	1	1	3456	10	1	1	3456									1																																																																																																																																																																																																																																	10000																																																																																																																																																																																																																																									
224	Witch Hunter	12											1		10010	1	3	3	10	0	16	14	10	11	11	10	3	14	10						50					2	1	1	1	1	2					2				1					1																	1																																																																																																																				10																																																																																																													10000																																																																																																																																																																																																																																									
225	Initiate	9											1		10010	1	3	3	10	0	13	12	9	10	10	10	4	14	10						10					2	1	1	1	1	2					1																																																																																																																																																																																																																																																											10000																																																																																																																																																																																																																																									
226	Arch Mage	7											1		260	1	3	3	10	0	18	30	13	10	10	12	3	14	10						100					2	1	1	1	1	2		80	2		2																																																																																			15																																																																														216																							10																																																																			10000																				1																																																																																																																																																																																																																					
227	Satyr Sneak	643							44				1		10009	1	3	3	12	1	13	9	11	10	12	10	3	16	14						50					2	1	1	1	1	2																																										1																60								1							1																																																																															0.5																										109																																																																														9000																																																																																																																																																																																																																																									
228	Satyr	643	21						44				1		10009	1	3	3	12	1	13	9	11	10	12	10	3	16	14						50					2	1	1	1	1	2																																										1																40								1							1																																																																																																									109																																																																														9000																																																																																																																																																																																																																																									
229	Satyr	643							44	1			1		10009	1	3	3	12	1	13	9	11	10	12	10	3	16	14						50					2	1	1	1	1	2																																										1																40								1							1																																																																																																									109																																																																														9000																																																																																																																																																																																																																																									
230	Satyr Hoplite	643							100	123	209		1		10014	1	3	3	14	1	13	10	11	12	13	10	3	16	14						50					2	1	1	1	1	2																																										1																								1								2																																																																																																								109																																																																														9000																																																																																																																																																																																																																																									
231	Centaur Hierophant	24	55	674									1		10025	1	5	3	23	3	15	13	14	11	14	13	3	20	30						50					2	1	1	1	0	2														1	100	1	1	9216													1											1																40								1											1																																																																																																					109																																																																														25000																																																																																																																															1																																																																																																										
232	Centaur Commander	651	55						102	123	2		1		10025	1	5	3	22	3	13	12	13	11	14	12	3	20	24						100					2	1	1	1	0	2																																										1																								1											-1																																																																																																					109																																																																														25000																																																																																																																															1																																																																																																										
233	Centaur Cataphract	651	55						102	123	2		1		10035	1	5	3	22	3	13	11	13	11	13	12	3	20	24						50					2	1	1	1	0	2																																										1																								1																																																																																																																109																																																																														25000																																																																																																																															1																																																																																																										
234	Minotaur	698							44				1		10040	1	4	4	25	4	11	13	16	8	8	8	3	16	15						50					2	1	1	1	1	2																																										1																								1							1																										4																			1																																																												109																																																																														40000																																																																																																																						1																																																																																																																			
235	War Minotaur	698							100				1		10050	1	4	4	25	4	11	14	16	9	8	8	3	16	15						50					2	1	1	1	1	2																																										1																								1																																	4																			1																																																												109																																																																														40000																																																																																																																																																																																																																																									
236	Minotaur Lord	698							101	135			1		10040	1	4	4	27	4	11	15	17	10	9	9	3	16	15						75					2	1	1	1	1	2																																										1																								1																																	4																			1																																																												109																																																																														40000																																																																																																																																																																																																																																									
237	Dryad	55											1		10020	1	3	3	11	0	16	10	10	10	12	10	3	16	15						50					2	1	1	1	1	2											1			2	100	1	1	26112													1										1	1																65					9			1																														3																																																																																		110																																																																														25000																																																																																																																																																																																																																																									
238	Pan	7											2		10040	1	4	4	27	4	17	16	16	9	9	9	2	16	15						100				150	2	1	1	1	1	2								2			3				100	1	1	9216	10	1	1	41984																				1																40								1													2																3																																																																																			109																							435																																																							40000																																																																																																																																																																																																																																									
239	Harpy	408	408										1		10007	1	3	2	7	0	11	8	8	8	10	8	3	4	4						10					0	0	1	0	0	2																																									1	1									1							40								1																																																																																																																110																																																																														3																																									-1																																																																																																																																																																																																
240	Priest	9											1		10020	1	3	3	9	0	13	9	9	8	8	10	4	14	10						10					2	1	1	1	1	2														1																	1																																																																																																																																																																																																																																	10000																																																																																																																																																																																																																																									
241	High Priest	9											1		10040	1	3	3	9	0	14	11	9	7	8	10	4	14	10						50					2	1	1	1	1	2														2																	1																																																																																																																																																																																																																																	10000																																																																																																																																																																																																																																									
242	Hiereia	674											1		10010	1	3	3	9	0	14	10	8	8	8	11	3	14	8						10					2	1	1	1	1	2											1			1																	1										1																																																																																													1																																																																																																																										10000																																																																																																																																																																																																																																									
243	Crab Hybrid	235	235										1		35	1	4	4	25	14	10	14	17	8	9	8	3	2	11						50				100	0	0	1	1	1	2																																															1																																														50																																																																																																																																																																			10000																																																																																																																																																																																																																																									
244	Arch Mage	7											1		10000	1	3	3	10	0	18	30	10	10	11	14	3	14	12						100					2	1	1	1	1	2			1		1																																																																																																																																																																																								10																																																																			10000																										1																																																																																																																																																																																																															
245	Master Enchanter	7											1		10000	1	3	3	10	0	18	30	10	10	11	13	3	14	12						100					2	1	1	1	1	2			1								1																															1																40																																																																																																																																			10																																																																			10000																											1																																																																																																																																																																																																														
246	Freak Lord	9											1		10000	1	3	3	10	0	18	30	10	10	11	13	3	14	10			247			100					2	1	1	1	0	3			1										1																																																																																																																																																		10																														10																																																																			10000																																																																																																																																																																																																																							1										2202								
247	Freak	20											1		0	1	7	7	41	2	8	50	22	10	8	3	3	3	16						50					0		0	0	0	2																																																																																																		5																				1																																																																																																																																										10000																																																																																																																																																																																																																																									
248	Arch Mage	7											1		10000	1	3	3	10	0	18	30	10	10	11	14	3	14	10			210			100					2	1	1	1	0	3			1				1																																								1																																														50																																																																																																9																																																																			10000																										1																																																																																																																																																																																																							330								
249	Crone	7											1		10000	1	3	3	10	0	18	30	9	9	9	10	3	12	10						100			715		2	1	1	0	1	4			1							1																															1																																																																																																																																																				10																																																																			10000																																																																																																																																																																																																																																									
250	Frost Father	7											1		10000	1	3	3	10	0	18	30	10	10	10	14	3	14	10						100					2	1	1	1	1	2			1			1	1																																																																																		25											10																						2																																																																			1																																																																			10000																																																																																																										1																																																																																																																															
251	Great Sage	7											1		10000	1	3	3	10	0	18	30	10	10	10	12	3	14	10						100					2	1	1	1	1	2			1						1																																																																																																																																																	15		1																																	10																																																																			10000																																																																																																																																																																																																																																									
252	Harab Seraph	7											1		10010	1	4	3	9	0	14	12	9	8	7	12	4	20	8						50					2	1	1	1	1	2										1					10	1	1	5504																																	1																																																																																																																																																																																																													10000																																									-1																																																																																																																																																																																																
253	Dusk Elder	63											1		0	1	3	3	30	0	17	16	14	10	17	12	0	20	12						10	50				2	1	1	1	1	2					1				1	3					100	1	1	8064	10	1	1	8064													1													1										40													1																		25	25								5		3															1																																																																																																																																													10000																																																										1																																																																																																																								1																																																							
254	Spectator	63											1		0	1	3	3	25	0	16	18	13	10	16	12	0	20	12						10	10				2	1	1	1	1	2										2																									1													1										40													1																		25	25								5		3															1																																																																																																																																													10000																																																										1																																																																																																																								1																																																							
255	Wailing Lady	58											1		0	1	3	3	20	0	15	18	12	10	15	12	0	20	12						50	50				2	1	1	1	1	2																															1				1						1								1									40													1																		25	25								10		3															1																																																																																																																																													10000																																																										1																																																																																																																								1																																																							
256	Acolyte of Eldregate	43											1		0	1	3	3	20	5	15	18	16	12	12	10	0	20	8						10	100				2	1	1	1	1	2														1																	1				1																																				1																		25	25										3																																																																																																																																																												10000																																																										1																	1																																																																																																																																																														
257	Bishop of Eldregate	43											1		0	1	3	3	23	5	16	18	17	13	13	10	0	20	8						10	150				2	1	1	1	1	2														2																	1				1																																				1																		25	25										3																																																																																																																																																												10000																																																										1																	1																																																																																																																																																														
258	Arch Bishop of Eldregate	59											1		0	1	3	3	25	5	17	18	18	13	13	10	0	20	8						10	200				2	1	1	1	1	2														3																	1				1																																				1																		25	25										3																																																																																																																																																												10000																																																										1																	1																																																																																																																																																														
259	Lictor	18							30				1		0	1	3	3	20	5	14	18	16	12	12	10	0	20	12						10	50				2	1	1	1	1	2																															1				1																																				1																		25	25										3																																																																																																																																																												10000																																																										1																																																																																																																																																																															
260	Censor	18							30				1		0	1	3	3	23	5	15	18	17	13	13	10	0	20	12						10	150				2	1	1	1	1	2																															1				1																																				1																		25	25										3																																																																																																																																																												10000																																																										1																																																																																																																																																																															
261	Valkyrie	357							8	20	2		1		10035	1	3	3	12	0	14	12	11	13	14	13	3	20	13						50				300	2	1	1	1	1	2																															1										1										1							40																																																																																																																																																																																																						25000																																																										1																																																																																																																																																																										1					
262	Van	357	21						8	20	2		1		10025	1	3	3	13	0	14	12	11	12	14	12	3	14	13			3521	3		50				300	2	1	1	1	1	2																															1																											40																																																																																																																																																																																																						25000																																																																																																																																																																																																																																	34038			1					
263	Vanherse	357	21						8	20	2		1		10025	1	3	3	14	0	16	13	12	14	14	13	3	14	13			3521	4		75				300	2	1	1	1	1	2						1						1		1																	1																									999	5	40																																																																																																																																																																																																						25000																																																																																																																																																																																																																																	32010			1					
264	Vanjarl	8	21						8	20	2		1		10025	1	3	3	15	0	17	14	13	14	16	14	3	14	13			3521	5		100				1000	2	1	1	1	1	2						2						1	1	2																	1																									999	5	40																																																																																																																																																																																																						25000																																																																																																																																																																																																																																	32014			1					
265	Dragon	534	821	823	532								1		260	1	10	10	125	18	18	30	25	15	12	12	2	3	10						100					0	0	1	0	0	2	1	80	2				2																																				1								1																																						15									10																																																																				267																							10																																						2					-2																								10000																				1																																																																																						1																																																																																							-1	-1																		15																					
266	Dragon	535	821	823	532								1		260	1	10	10	125	18	18	30	25	15	12	12	2	3	10						100					0	0	1	0	0	2	1	80	2								2																																		1						1																																							15								10																																																																				268																							10																																										2	-2																								10000																				1																																																																																							1																																																																																						-1																			15																					
267	Frost Father	7											1		260	1	3	3	10	0	18	30	13	10	10	12	3	14	10						100					2	1	1	1	1	2		80	2				2																																																																																		15																																																																													265																							10																																																																			10000																				1																																																																																						1																																																																																																																															
268	Master Enchanter	7											1		260	1	3	3	10	0	18	30	13	10	10	12	3	2	10						100					2	1	1	1	1	2		80	2								2																																		1																																													15																																																																												266																							10																																																																			10000																				1																																																																																							1																																																																																																																														
269	Wyrm	827	827										1		10000	1	10	10	160	15	18	30	25	15	10	10	2	14	10						100					0	0	2	0	0	2	1	80	2				1	1																																					1			1																																										15								5												10																						-1																						-8																																			1																																												4																							10000																																																1																																																											1																																																																																																																														
270	Arch Druid	7											1		10000	1	3	3	10	0	18	30	10	10	10	14	3	14	10						100					2	1	1	1	1	2			1								1																															1																40																																15																																																																																																			2																																																																			10000																																																														2																																																																																																																																																																											
271	Burgmeister Guard	6							9	20	2		1		10009	1	2	2	5	0	14	9	6	11	14	10	4	1	8						50				80	2	1	1	1	1	2																																																																																2																																																																																																																																																																																7000																																									1																																																																																																																																																																																																
272	Hoburg Champion	6							9	20	2		1		10007	1	2	2	6	0	14	8	7	12	15	10	4	1	8						50				80	2	1	1	1	1	2																																																																																																																																																																																																																																																																7000																																									1																																																																																																																																																																																																
273	Hoburg Crossbow	9	25						5	20			1		10007	1	2	2	5	0	14	7	6	10	13	11	4	1	8						50				80	2	1	1	1	1	2																																																																																																																																																																																																																																																																7000																																									1																																																																																																																																																																																																
274	Jotun Jarl	8							13	20	2		1		10030	1	6	6	40	5	13	14	23	13	12	10	3	16	16						100				200	2	1	1	1	1	2														1																	1																																																								-5		15																																																																																																																																																																436							30000																																																																																																										1																																																																																																																															
275	Jotun Gode	8							15	2	119		1		10030	1	6	6	36	5	14	13	22	11	11	10	3	16	16						50				200	2	1	1	1	1	2														2																	1											1																																													-5		15																																																																																																																																																																							30000																																																																																																										1																																																																																																																															
276	Jotun Javelinist	17	21						15	2	119		1		10030	1	6	6	33	5	12	12	21	10	10	10	3	16	15						50				200	2	1	1	1	1	2																																																																																							-5		15																																																																																																																																																																							30000																																																																																																										1																																																																																																																															
277	Jotun Bondi	17							15	2	119		1		10020	1	6	6	31	5	12	11	19	9	9	10	3	16	15						50				200	2	1	1	1	1	2																																																																																							-5		15																																																																																																																																																																							30000																																																																																																										1																																																																																																																															
278	Jotun Spearman	1							13	118	2		1		10030	1	6	6	33	5	12	12	21	10	10	10	3	16	15						50				200	2	1	1	1	1	2																																																																																							-5		15																																																																																																																																																																							30000																																																																																																										1																																																																																																																															
279	Jotun Axeman	17							13	118	2		1		10030	1	6	6	33	5	12	12	21	10	10	10	3	16	15						50				200	2	1	1	1	1	2																																																																																							-5		15																																																																																																																																																																							30000																																																																																																										1																																																																																																																															
280	Seithkona	9											1		10010	1	3	3	9	0	14	9	8	8	8	10	3	14	10						10					2	1	1	1	1	2									1	1		1																													1																																																																																																5																																																																																																																							10000																																																																																																																																																																																																																																									
281	Norna	9											2		10010	1	3	3	10	0	16	10	8	8	8	10	3	14	10						10			330	200	2	1	1	1	1	2									2	2		1			100	1	1	63488	10	1	1	63488																			1																																																																												1																				20																																																																																																																							10000																																																										1																																																																																																																																																																															
282	Wolf Rider	1							15	2	120		1		10007	1	2	2	8	0	12	9	9	10	10	10	3	12	10			3532	1		50				100	2	1	1	1	1	2																																										1																40																															5																																																									1																																																																																																														6996																																																																																																										1																																																																																																																							37032								
283	Chief	6							15	119	2		1		10007	1	2	2	10	0	12	10	9	10	10	10	3	12	10			3532			50				100	2	1	1	1	1	2																																										1																40																															5																																																									2																																																																																																														6996																																																																																																										1																																																																																																																							37004								
284	Wolf	20											1		0	1	3	3	8	2	5	12	9	11	11	5	2	20	26						50					0		0	0	0	2																																							1			1	1															40															1																																																																																																																																																																																							10000																																																																																																										1											1																																																																																																																				
